title,tag,area,dd,price
世纪星城 带电梯复式 楼上没算面积 适合三代人居住,必看好房,世纪星城 ,通州北苑,550
长城国际东向小户型，随时可看，业主诚心出售,必看好房,长城国际 ,通州北苑,183
四环边，首开华润城，精装修南北三居室,必看好房,首开华润城 ,科技园区,990
星河城西区近地铁，看房子方便视野好没有遮挡,必看好房,星河城西区 ,马家堡,1100
朝阳公园 东风家园 东南三居室 满五年唯一,必看好房,东风家园 ,朝阳公园,650
运河商务区 五河交汇处 满五唯一 南北通透三居,必看好房,京贸国际城 ,武夷花园,820
北二环东城区05年小区有电梯高楼层三居室双卫,必看好房,西营房 ,安定门,1090
木樨园8号线 精装修南北通透三居室  交通方便,必看好房,南木樨园 ,木樨园,408
卧龙小区眼镜户型三居双卫，满五年唯一，采光视野好,必看好房,卧龙小区 ,亚运村,899
三环边，正对小区花园三居室 有车位 满五唯一,必看好房,世纪星家园 ,宋家庄,800
长阳半岛怡和路6号院 3室2厅 南 北,必看好房,长阳半岛怡和路6号院 ,长阳,700
怡景园精装修三居室，满五年唯一住房，小区有院子会所,必看好房,怡景园 ,朝阳门外,998
地铁口，精装，带电梯南北4居室,必看好房,紫南家园 ,欢乐谷,852
国瑞城中区高楼层把边儿户型三居室，敞亮，方正，好房,必看好房,国瑞城中区 ,崇文门,1190
果园西小区 精装修两居室 诚意出售 看房方便,必看好房,果园西小区 ,果园,263
国瑞城中区 全南三居室 高楼层 费用少,必看好房,国瑞城中区 ,崇文门,1199
北亚花园 中间层 满五年唯一 单价低三居 南北通透,必看好房,北亚花园 ,北七家,360
小区新，环境好，交通方便，观景效果好,必看好房,保利大都汇 ,万达,215
临公园小区中间三居两卫商品房满五年唯一,必看好房,龙腾苑二区 ,回龙观,625
瀛海庄园满五不唯一大面积精装修瀛海名居,必看好房,瀛海庄园 ,亦庄开发区其它,1380
高楼层，视野开阔，精致园林，贴心物业禧福汇国际社区,必看好房,禧福汇 ,大望路,1300
前进花园石门苑 满五唯一 南北通透 配套齐全 交通便利,必看好房,前进花园石门苑 ,顺义城,345
满五唯一，四面朝南，采光充足，临河观景，动静分离,必看好房,珠江绿洲 ,双桥,768
万寿路乙5号院，干部家属院，低价三居,必看好房,万寿路乙5号院 ,万寿路,1100
风雅园一区中间楼层两居室，商五一报价，随时可以看,必看好房,风雅园一区 ,回龙观,508
高教新城天朗园 9层高的电梯洋房,必看好房,北街家园一区 ,沙河,648
清河 君安家园东区 正规三居室 中间楼层 业主诚售,必看好房,君安家园东区 ,清河,890
丽水嘉园 2室2厅 东北,必看好房,丽水嘉园 ,朝阳公园,815
密西花园小区安静舒适，生活便利,必看好房,密西花园一期 ,果园街道,190
南北通透三居室 中楼层 户型方正,必看好房,海子角西里 ,观音寺,372
北礼士路全明三居室，1990年有电梯 随时看房签约,必看好房,北礼士路 ,阜成门,1010
鸿坤理想城大满贯 人车分流 封闭式管理 正规一居室,必看好房,鸿坤理想城大满贯 ,西红门,308
望京新城无遮挡2居，30万装修可贷款，看房随时,必看好房,望京新城 ,望京,720
慧谷金色家园，南北双通透，前后看花园,必看好房,慧谷金色家园 ,望京,899
铁道部央产房，户型好，管理好，视野好，交易费用低,必看好房,月坛北街甲1号院 ,月坛,1830
西南二环内 牛街商圈 国资委宿舍 电梯直达 诚心出售,必看好房,南线阁37号院 ,牛街,1400
上跃户型，复式结构四居室，满五年唯一,必看好房,美然动力A2区 ,定福庄,658
近地铁  三面宽朝南  满五年  诚心卖,必看好房,银地家园 ,花乡,574
银地家园南北三居双卫格局不临街满五年 一梯两户,必看好房,银地家园 ,花乡,620
怡然家园6号院 南北通透 三居室,必看好房,怡然家园6号院 ,角门,750
福怡苑南北通透三居上下两层满五年唯一商品房,必看好房,福怡苑 ,定福庄,435
金地家园 3室2厅 南 北,必看好房,金地家园 ,东关,589
凯旋城 豪+华装修大两居 满五唯一 人车分流东南,必看好房,凯旋城 ,亚运村小营,1168
商品房满五年，一层带院，业主自住，环境好,必看好房,龙泽苑西区 ,回龙观,819
松榆里，南北通透两居，南北有阳台,必看好房,松榆里 ,潘家园,370
银海星月正规三居室 南北通透格局好,必看好房,银海星月 ,卢沟桥,659
云趣园三区+采光大三居+商五唯一+门口在建地铁13号线,必看好房,云趣园三区 ,回龙观,530
观澜国际双卧室朝南三居，独立餐厅，带保姆间,必看好房,观澜国际 ,四季青,1850
丹青府东南北采光，全明格局，满五唯一，2019年精装修,必看好房,丹青府 ,田村,1295
金隅翡丽铂爵郡 3室2厅 南 北,必看好房,金隅翡丽铂爵郡 ,西三旗,820
丰管路甲52号院 板楼南北通透四居室  近地铁公园,必看好房,丰管路甲52号院 ,丽泽,990
阜成门大三居，有电梯，随时签约,必看好房,北营房东里 ,阜成门,1250
万科城市花园，复式带院子， 精装修，楼栋位置好。,必看好房,万科城市花园 ,后沙峪,730
楼层好 视野宽阔 交通便利 配套齐全 无土地出让金,必看好房,富贵园二区 ,东花市,740
丽园B区，满五年唯一，正规三居室，双卫带电梯,必看好房,丽园B区 ,枣园,620
美丽经典园 2008年花园洋房  复式结构  前后不临街,必看好房,美丽经典园 ,四季青,1920
别墅区的洋房一层明厨明卫精装南北通透三居,必看好房,王府公寓三区 ,北七家,558
